scenario,replicate,turtle_id,step,time_s,x_m,y_m,outcome
baseline,0,15,13,65.0,12.0,95.0,active
baseline,0,16,13,65.0,13.0,603.5,active
baseline,0,17,13,65.0,14.0,98.0,active
baseline,0,18,13,65.0,11.5,196.0,active
baseline,0,19,13,65.0,13.0,697.5,active
baseline,0,20,13,65.0,10.0,395.5,active
baseline,0,21,13,65.0,14.5,197.5,active
baseline,0,22,13,65.0,13.5,0.5,active
baseline,0,23,13,65.0,13.5,799.5,active
baseline,0,24,13,65.0,12.0,502.5,active
baseline,0,25,13,65.0,15.5,795.0,active
baseline,0,26,13,65.0,11.0,95.0,active
baseline,0,27,13,65.0,13.0,97.5,active
baseline,0,28,13,65.0,14.5,596.0,active
baseline,0,29,13,65.0,11.0,195.0,active
baseline,0,0,14,70.0,8.0,399.5,active
baseline,0,1,14,70.0,14.0,98.0,active
baseline,0,2,14,70.0,10.5,97.5,active
baseline,0,3,14,70.0,13.0,597.0,active
baseline,0,4,14,70.0,13.5,0.5,active
baseline,0,5,14,70.0,13.5,101.0,active
baseline,0,6,14,70.0,10.5,793.5,active
baseline,0,7,14,70.0,13.5,596.5,active
baseline,0,8,14,70.0,10.5,193.0,active
baseline,0,9,14,70.0,4.5,396.0,active
baseline,0,10,14,70.0,14.5,195.0,active
baseline,0,11,14,70.0,14.5,696.5,active
baseline,0,12,14,70.0,5.0,396.5,active
baseline,0,13,14,70.0,14.5,99.0,active
baseline,0,14,14,70.0,9.0,399.5,active
baseline,0,15,14,70.0,12.0,94.5,active
baseline,0,16,14,70.0,13.5,603.0,active
baseline,0,17,14,70.0,14.5,97.5,active
baseline,0,18,14,70.0,12.0,195.5,active
baseline,0,19,14,70.0,13.5,697.0,active
baseline,0,20,14,70.0,10.0,395.0,active
baseline,0,21,14,70.0,15.0,197.0,active
baseline,0,22,14,70.0,14.0,0.5,active
baseline,0,23,14,70.0,14.0,799.0,active
baseline,0,24,14,70.0,12.5,502.0,active
baseline,0,25,14,70.0,16.0,794.5,active
baseline,0,26,14,70.0,11.5,94.5,active
baseline,0,27,14,70.0,13.5,97.0,active
baseline,0,28,14,70.0,15.0,595.5,active
baseline,0,29,14,70.0,11.5,194.5,active
baseline,0,0,15,75.0,7.5,399.5,active
baseline,0,1,15,75.0,14.0,97.5,active
baseline,0,2,15,75.0,11.0,97.0,active
baseline,0,3,15,75.0,13.0,596.5,active
baseline,0,4,15,75.0,14.0,0.0,active
baseline,0,5,15,75.0,14.0,101.0,active
baseline,0,6,15,75.0,11.0,793.0,active
baseline,0,7,15,75.0,14.0,596.5,active
baseline,0,8,15,75.0,11.0,192.5,active
baseline,0,9,15,75.0,5.0,395.5,active
baseline,0,10,15,75.0,15.0,194.5,active
baseline,0,11,15,75.0,15.0,696.0,active
baseline,0,12,15,75.0,4.5,396.0,active
baseline,0,13,15,75.0,15.0,98.5,active
baseline,0,14,15,75.0,8.5,399.0,active
baseline,0,15,15,75.0,12.0,94.0,active
baseline,0,16,15,75.0,14.0,602.5,active
baseline,0,17,15,75.0,15.0,97.5,active
baseline,0,18,15,75.0,12.5,195.0,active
baseline,0,19,15,75.0,14.0,697.0,active
baseline,0,20,15,75.0,10.0,394.5,active
baseline,0,21,15,75.0,15.5,197.0,active
baseline,0,22,15,75.0,14.5,0.0,active
baseline,0,23,15,75.0,14.5,798.5,active
baseline,0,24,15,75.0,13.0,502.0,active
baseline,0,25,15,75.0,16.5,794.0,active
baseline,0,26,15,75.0,12.0,94.5,active
baseline,0,27,15,75.0,14.0,96.5,active
baseline,0,28,15,75.0,15.5,596.0,active
baseline,0,29,15,75.0,12.0,194.0,active
